날짜,방송시간,상품코드,상품명
03.24,19:30,2248198447,헤리터 준 글라스 415ml 2개
03.24,19:30,2248198699,헤리터 준 글라스 415ml 4개
03.24,19:30,2248747325,헤리터 가야 머그 와이드 270ml 4개
03.24,19:30,2248747374,헤리터 가야 머그 와이드 270ml 2개
03.24,21:45,2248638770,프리마클라쎄 [26SS 최신상] 프리마클라쎄 레오 프린트 가디건 1종
03.24,21:45,2248646377,프리마클라쎄 [26SS 최신상] 프리마클라쎄 시그니처 코쿤 데님 팬츠 1종(+벨트 1종)
03.24,21:45,2247283038,"프리마클라쎄 [26SS 최신상] 프리마클라쎄 FAUX 레더 트렌치 점퍼 1종189,000원 최대 무5월 37,800원무료배송"
03.24,21:45,2247076752,"프리마클라쎄 GEO SOFT 유카 백팩 L LE59499,000원 최대 무12월 41,583원무료배송"
03.24,21:45,2239373616,"프리마클라쎄 [KOREA EXCLUSIVE] 프리마클라쎄 GEO 베니티백 LS LF10399,000원 최대 무12월 33,250원무료배송"
03.24,21:45,2239388386,"프리마클라쎄 [런칭가 169000원] 프리마클라쎄 비스타 크로스백169,000원 최대 무5월 33,800원무료배송"
03.24,21:45,2247289342,에바큐브 26SS 쉬폰플리츠 스트라이프 셔츠
03.24,21:45,2248247076,에바큐브 26SS 스트라이프 플리츠 세미 와이드 팬츠
03.24,21:45,2205132158,"에바큐브 [런칭가 239000원] 에바큐브 360도 배색 플리츠 스커트119,000원 무료배송"
03.24,21:45,2205132161,"에바큐브 [런칭가 279000원] 에바큐브 플리츠 오버롤 원피스139,000원 무료배송"
03.24,21:45,2245519486,이상봉 에디션 26SS 컴포트 실루엣 팬츠
03.24,21:45,2228491355,이상봉 [론칭가 79900원]이상봉에디션 비즈 블루종
03.24,21:45,2248741995,"이상봉 에디션 26SS 아일렛 슬리브리스 코튼탑 3종79,900원 최대 무3월 26,633원무료배송"
03.24,21:45,2229779834,"이상봉 [론칭 빅히트]이상봉에디션 콤비네이션 셔츠 가디건39,900원 무료배송"
03.24,21:45,2248345329,지프레세 [G.prese] 지프레세 26SS 플리츠 데님 재킷
03.24,21:45,2248360957,지프레세 [G.prese] 지프레세 26SS 플리츠 데님 팬츠
03.24,21:45,2248361606,"지프레세 [G.prese] 지프레세 26SS 패턴 블라우스129,000원 최대 무5월 25,800원무료배송"
03.24,21:45,2248361641,"지프레세 [G.prese] 지프레세 26SS 패턴 스커트169,000원 최대 무6월 28,166원무료배송"
03.24,21:45,2248361576,"지프레세 [G.prese] 지프레세 26SS 볼륨 스트링 블라우스119,000원 최대 무5월 23,800원무료배송"
